File,Output_folder,Experiment,MS_Plate,Fraction,Parameter_group,PTM,Reference_channel,File_order,Compound_order,Project,Comments
4509_H03_051595_S00_I00_U03_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_H04_051595_S00_I00_U04_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_H05_051595_S00_I00_U05_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_H06_051595_S00_I00_U06_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_H07_051595_S00_I00_U07_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_H08_051595_S00_I00_U08_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_H09_051595_S00_I00_U09_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_H10_051595_S00_I00_U10_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_H11_051595_S00_I00_U11_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_H12_051595_S00_I00_U12_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4890_A10_053703_S00_U10_TMT11_R1,Batch21_var_MASTER,Batch21_var_MASTER,4890,10,0,FALSE,,10,,Patients,
4890_D09_053703_S00_U40_TMT11_R1,Batch21_var_MASTER,Batch21_var_MASTER,4890,40,0,FALSE,,40,,Patients,
4879_B01_053281_S00_U01_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,1,1,TRUE,,1,,Patients,
4879_B02_053281_S00_U02_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,2,1,TRUE,,2,,Patients,
4879_B03_053281_S00_U03_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,3,1,TRUE,,3,,Patients,
4879_B04_053281_S00_U04_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,4,1,TRUE,,4,,Patients,
4879_B05_053281_S00_U05_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,5,1,TRUE,,5,,Patients,
4879_B06_053281_S00_U06_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,6,1,TRUE,,6,,Patients,
4879_B07_053281_S00_U07_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,7,1,TRUE,,7,,Patients,
4879_B08_053281_S00_U08_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,8,1,TRUE,,8,,Patients,
4879_B09_053281_S00_U09_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,9,1,TRUE,,9,,Patients,
4879_B10_053281_S00_U10_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,10,1,TRUE,,10,,Patients,
4879_B11_053281_S00_U11_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,11,1,TRUE,,11,,Patients,
4879_B12_053281_S00_U12_I00_TMT11_R1,Batch20_PP_MASTER,Batch20_PP_MASTER,4879,12,1,TRUE,,12,,Patients,
4878_E10_053281_S00_U10_TMT11_R1,Batch20_var_MASTER,Batch20_var_MASTER,4878,10,0,FALSE,,10,,Patients,
4878_H09_053281_S00_U40_TMT11_R1,Batch20_var_MASTER,Batch20_var_MASTER,4878,40,0,FALSE,,40,,Patients,
4891_A01_053703_S00_U01_I00_TMT11_R1,Batch21_PP_MASTER,Batch21_PP_MASTER,4891,1,1,TRUE,,1,,Patients,
4891_A02_053703_S00_U02_I00_TMT11_R1,Batch21_PP_MASTER,Batch21_PP_MASTER,4891,2,1,TRUE,,2,,Patients,
4891_A03_053703_S00_U03_I00_TMT11_R1,Batch21_PP_MASTER,Batch21_PP_MASTER,4891,3,1,TRUE,,3,,Patients,
4891_A04_053703_S00_U04_I00_TMT11_R1,Batch21_PP_MASTER,Batch21_PP_MASTER,4891,4,1,TRUE,,4,,Patients,
